vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;average_vehicle_weight;battery_weight;vehicleweight_w/o_battery;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;consumption_AdBlue;co2e_production_bestcase;co2e_production;co2e_production_worstcase;co2e_battery_production_bestcase;co2e_battery_production;co2e_battery_production_worstcase;co2e_electric_engine_bestcase;co2eelectricengine;co2eelectricengineworstcase;co2edrivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;co2e_hvo_TtW;co2e_hvo_WtW;co2e_ptl_TtW;co2e_ptl_WtW;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity;rangewltp;rangewltpcity;batterycapacitybrutto;batterycapacitynetto;powercumbustionengine;powerelectricengine;powerelectricengine2;weightelectricengine;weightelectricdrivechain;co2esavingsbattery;emissiontargetsgermany
bev;Oberklasse;Taycan;24071;;2125;;;13739;battery;0;20,3;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;432;451;79,2;71;;300;;50;27;;
bev;SUV;ModelY;281894;;1984;;;13739;battery;0;15,7;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;455;;;62;;220;;50;27;;
bev;Gel‰ndewagen;Q8;33650;;2585;;;13739;battery;0;20,3;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;488;;95;89;;;;50;27;;
bev;Sportwagen;;35;;;;;13739;battery;0;0;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;50;27;;
bev;MiniVan;Kiae-Soul;6382;;1610;315;1295;13739;battery;0;15,6;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;276;407;42;39,2;;100;;50;27;;
bev;GroﬂraumVans;;3443;;;;;13739;battery;0;0;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;50;27;;
bev;Utilities;e-Sprinter;9905;;2455;;;13739;battery;0;33,9;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;120;;41;35;;85;;50;27;;
bev;Wohnwagen;;63;;;;;13739;battery;0;0;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;50;27;;
lkw;MittelschwererLkwimVerteilverkehrICEDiesel;;;;12800;;;50000;;0;254;;0,01;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
lkw;SchwererLKWimTransitverkehrICEDiesel;;;;14700;;;50000;;0;316;;0,01;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-EEONC;;;;11300;;;50000;;0;110;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;110;;;350;;;270;;
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-ATONC;;;;11300;;;50000;;0;110;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;110;;;350;;;270;;
lkw;SchwererLKWimTransitverkehrBEV-AT-OL;;;;13200;;;50000;;0;155;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;200;;;450;;;350;;
lkw;SchwererLKWimTransitverkehrBEV-EE-OL;;;;13200;;;50000;;0;155;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;200;;;450;;;350;;
