unit;;;01.01.2023;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;;FZ27.11,KBA;;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;REDII;;REDII;REDII;;REDII;REDII;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;agora ;;;;;;;;;
description;;;;; ;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agora*0,68;agora*0,68;agora*0,68;;
vehicle_class;segments;used_model;number_of_cars_in_segment;shareontotalvehicles;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_2025;emission_target_2035;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2040;path_emission_2045;;
phev;Kleinwagen;peugeot 5008;33317,87941;0,000309031;0,01665894;2000000;1624;1549;130;1419;23,625;1395,375;12500;hybrid;1,1;14,4;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;13;85;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;312,3395;10406489,8
phev;Kompaktklasse;ford transit ;409821,739;0,003801195;0,20491087;2000000;1635;1560;130;1430;27;1403;12500;hybrid;1,1;14,4;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;12,8;85;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;312,3395;128003517,1
phev;Mittelklasse;land rover defender ;313815,8047;0,002910717;0,156907902;2000000;1759;1684;130;1554;33,75;1520,25;12500;hybrid;1,3;16,3;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;13;85;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;369,1285;115838357,3
phev;obereMittelklasse;E300e9G-Tronics;148920,93;0,001381277;0,074460465;2000000;1985;1910;135;1775;33,75;1741,25;12500;hybrid;1,5;17;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;13,5;90;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;425,9175;63428030,21
phev;Oberklasse;Porschepanamera;22281,46225;0,000206666;0,011140731;2000000;2285;2210;179;2031;54;1977;12500;hybrid;2,3;23,6;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;17,9;100;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;653,0735;14551432,54
phev;SUV;Renaultcapture;617744,964;0,005729733;0,308872482;2000000;1616;1541;103;1438;26,325;1411,675;12500;hybrid;1,5;17,3;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;9,8;49;25;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;425,9175;263108390,7
phev;Gel‰ndewagen;volvoXC40;396402,3274;0,003676727;0,198201164;2000000;1812;1737;107;1630;32,4;1597,6;12500;hybrid;2,1;15,2;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;10,7;60;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;596,2845;236368563,6
phev;Sportwagen;Porschepanamera;4951,436056;4,59E-05;0,002475718;2000000;2285;2210;179;2031;54;1977;12500;hybrid;2,3;23,6;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;17,9;100;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;653,0735;3233651,675
phev;MiniVan;Peogeot3008;42988,94272;0,000398733;0,021494471;2000000;1908;1833;142;1691;29,025;1661,975;12500;hybrid;1,3;15,3;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;14,2;81;83;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;369,1285;15868443,94
phev;GroﬂraumVans;not available ;4,636176082;4,30E-08;2,31809E-06;2000000;0;0;0;0;0;0;12500;hybrid;0;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
