unit;;;01.01.2023;350501;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;;FZ27.11,KBA;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;REDII;;;;;;;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;;;;;;;;;
description;;;; ;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eigene Berechnung ;eigene Berechnung ;eigene Berechnung ;eigene Berechnung ;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2035;path_emission_2040;path_emission_2045;ttw;
PHEV;smallcar;Golf;22489,57;0,01665894;1350000;1624;1549;130;1419;23,625;1395,375;12545;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;13;85;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;188,7302417;
PHEV;compact car;A3;276629,67;0,20491087;1350000;1635;1560;130;1430;27;1403;12545;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;12,8;85;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;188,7302417;
PHEV;mid-range vehicle;VWPassat;211825,67;0,156907902;1350000;1759;1684;130;1554;33,75;1520,25;12545;hybrid;1,3;16,3;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;13;85;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;223,0448311;
PHEV;upper mid range vehicle;E300e9G-Tronics;100521,63;0,074460465;1350000;1985;1910;135;1775;33,75;1741,25;12545;hybrid;1,5;17;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;13,5;90;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;257,3594205;
PHEV;top range vehicle;Porschepanamera;15039,99;0,011140731;1350000;2285;2210;179;2031;54;1977;12545;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;17,9;100;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;394,6177781;
PHEV;SUV;Renaultcapture;416977,85;0,308872482;1350000;1616;1541;103;1438;26,325;1411,675;12545;hybrid;1,5;17,3;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;9,8;49;25;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;257,3594205;
PHEV;off-road;volvoXC40;267571,57;0,198201164;1350000;1812;1737;107;1630;32,4;1597,6;12545;hybrid;2,1;15,2;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;10,7;60;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;360,3031887;
PHEV;sportcar;Porschepanamera;3342,22;0,002475718;1350000;2285;2210;179;2031;54;1977;12545;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;17,9;100;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;394,6177781;
PHEV;minivan;Peogeot3008;29017,54;0,021494471;1350000;1908;1833;142;1691;29,025;1661,975;12545;hybrid;1,3;15,3;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;14,2;81;83;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;223,0448311;
PHEV;large van;not available ;3,13;2,31809E-06;1350000;0;0;0;0;0;0;12545;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
