unit;;;01.01.2023;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;ADAC;FZ27.11,KBA;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;BA IFKM ;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;;;;;;;;
description;;;; ;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agora;agora;agora*0,68;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2040;path_emission_2045;ttw nutzung;ttw alle segmente
PHEV;compact car;A3;1024554,348;0,20491087;5000000;1635;1560;130;1430;27;1403;12545;hybrid;1,1;14,4;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;12,8;85;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;313,4639222;321160824,3
PHEV;mid-range vehicle;VWPassat;784539,5118;0,156907902;5000000;1759;1684;130;1554;33,75;1520,25;12545;hybrid;1,3;16,3;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;13;85;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;370,4573626;290638438,4
PHEV;upper mid range vehicle ;E300e9G-Tronics;372302,325;0,074460465;5000000;1985;1910;135;1775;33,75;1741,25;12545;hybrid;1,5;17;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;13,5;90;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;427,450803;159140927,8
PHEV;top range vehicle;Porschepanamera;55703,65562;0,011140731;5000000;2285;2210;179;2031;54;1977;12545;hybrid;2,3;23,6;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;17,9;100;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;655,4245646;36509544,23
PHEV;SUV;Renaultcapture;1544362,41;0,308872482;5000000;1616;1541;103;1438;26,325;1411,675;12545;hybrid;1,5;17,3;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;9,8;49;25;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;427,450803;660138952,2
PHEV;off-road;volvoXC40;991005,8184;0,198201164;5000000;1812;1737;107;1630;32,4;1597,6;12545;hybrid;2,1;15,2;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;10,7;60;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;598,4311242;593048726
PHEV;sportcar;Porschepanamera;12378,59014;0,002475718;5000000;2285;2210;179;2031;54;1977;12545;hybrid;2,3;23,6;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;17,9;100;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;655,4245646;8113232,052
PHEV;minivan;Peogeot3008;107472,3568;0,021494471;5000000;1908;1833;142;1691;29,025;1661,975;12545;hybrid;1,3;15,3;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;14,2;81;83;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;370,4573626;39813925,85
PHEV;large van;not available ;11,5904402;2,31809E-06;5000000;0;0;0;0;0;0;12545;hybrid;0;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;0;0
PHEV;Utilities;VWMultivan;24345,71965;0,004869144;5000000;2257;2182;130;2052;30,375;2021,625;12545;hybrid;1,8;17,3;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;13;85;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;512,9409636;12487916,9
